!Bonds
 CR1E CR1E CR1E   2.39369   2.34859   2.43645 120.00000   1.80000
  NH1 CRHH  NH1   2.14283   2.11537   2.16964 108.40000   1.00000
  NH1  CRH   NR   2.20470   2.16994   2.23833 111.70000   1.30000
    C    N CH1E   2.46288   2.33607   2.57104 122.60000   5.00000
    C    N CH2P   2.49679   2.39750   2.58337 125.00000   4.10000
   HC  NH3 CH2P   2.23801   2.15198   2.31316 125.00000   4.10000
   H0  NH3 CH2P   2.23801   2.15198   2.31316 125.00000   4.10000
 CH1E    N CH2P   2.43654   2.39543   2.47621 112.00000   1.40000
 CH1E  NH3 CH2P   2.45729   2.41578   2.49734 112.00000   1.40000
    C  NH1 CH1E   2.43483   2.39081   2.47646 121.70000   1.80000
    C  NH1 CH2G   2.41555   2.37347   2.45553 120.60000   1.70000
    C  NH1 CH2E   2.46558   2.43039   2.49911 124.20000   1.50000
    C  NH1 CH3E   2.42348   2.38126   2.46359 120.60000   1.70000
   C5  NH1 CRHH   2.20164   2.15421   2.24715 109.30000   1.70000
   C5  NH1  CRH   2.21692   2.16880   2.26310 109.00000   1.70000
   CW  NH1 CR1E   2.23254   2.18107   2.28182 108.90000   1.80000
 CRHH  NH1 CR1H   2.19426   2.16645   2.22140 109.00000   1.00000
  CRH  NH1 CR1E   2.18434   2.14673   2.22085 106.90000   1.30000
   C5   NR  CRH   2.14290   2.11396   2.17118 105.60000   1.00000
 CR1E   NR  CRH   2.17154   2.08421   2.25295 107.00000   3.00000
 CH2E   SE CH3E   2.93298   2.83399   3.02768  98.90000   2.20000
 CH2E   SM CH3E   2.77123   2.68065   2.85778 100.90000   2.20000
 CH2E    S    S   3.03399   2.95792   3.10710 103.80000   1.80000
    C  NC2   HC   2.02096   1.95838   2.07822 120.00000   3.00000
   HC  NC2   HC   1.73205   1.67675   1.78264 120.00000   3.00000
    C  NC2   H0   2.02096   1.95838   2.07822 120.00000   3.00000
   HC  NC2   H0   1.73205   1.67675   1.78264 120.00000   3.00000
   H0  NC2   H0   1.73205   1.67675   1.78264 120.00000   3.00000
    C  NH1    H   2.00725   1.94540   2.06385 120.00000   3.00000
   CW  NH1    H   2.04448   1.98192   2.10174 120.00000   3.00000
  C5W  NH1    H   2.05176   1.98906   2.10915 120.00000   3.00000
   C5  NH1    H   2.05176   1.98906   2.10915 120.00000   3.00000
 CH1E  NH1    H   2.12485   2.06075   2.18356 120.00000   3.00000
  CRH  NH1    H   2.02176   1.95957   2.07869 120.00000   3.00000
 CRHH  NH1    H   2.00001   1.93833   2.05643 120.00000   3.00000
 CR1H  NH1    H   2.04812   1.98549   2.10544 120.00000   3.00000
 CH2E  NH1    H   2.12669   2.06256   2.18541 120.00000   3.00000
 CH2G  NH1    H   2.11844   2.05447   2.17701 120.00000   3.00000
 CH3E  NH1    H   2.12669   2.06256   2.18541 120.00000   3.00000
 CR1E  NH1    H   2.04812   1.98540   2.10553 120.00000   3.00000
    C  NH2    H   2.00635   1.94445   2.06300 120.00000   3.00000
 CH1E  NH2    H   2.00635   1.94445   2.06300 120.00000   3.00000
 CH2E  NH2    H   2.00635   1.94445   2.06300 120.00000   3.00000
    H  NH2    H   1.73854   1.68819   1.78416 125.00000   3.00000
 CH1E  NH3   HC   2.08325   2.00673   2.15449 109.50000   3.00000
 CH2E  NH3   HC   2.08148   2.00492   2.15277 109.50000   3.00000
 CH1E  NH3   H0   2.08325   2.00673   2.15449 109.50000   3.00000
 CH2E  NH3   H0   2.08148   2.00492   2.15277 109.50000   3.00000
 CH2E  NH3 CH3E   2.43196   2.33820   2.51908 109.50000   3.00000
 CH2G  NH3   HC   2.08148   2.00492   2.15277 109.50000   3.00000
   HC  NH3   HC   1.69861   1.63291   1.75971 109.50000   3.00000
 CH2G  NH3   H0   2.08148   2.00492   2.15277 109.50000   3.00000
   HC  NH3   H0   1.69861   1.63291   1.75971 109.50000   3.00000
   H0  NH3   H0   1.69861   1.63291   1.75971 109.50000   3.00000
 CH3E  NH3 CH3E   2.43196   2.33820   2.51908 109.50000   3.00000
    C  OH1    H   1.85951   1.79023   1.92398 109.50000   3.00000
  CY2  OH1    H   1.92272   1.85207   1.98851 109.50000   3.00000
 CH1E  OH1    H   1.97320   1.90156   2.03992 109.50000   3.00000
 CH2E  OH1    H   1.95899   1.88760   2.02548 109.50000   3.00000
    C CH1E   H0   2.13635   2.05685   2.21041 108.99140   3.00000
    C CH2E   H0   2.12331   2.04360   2.19761 108.58770   3.00000
    C CH2G   H0   2.12669   2.04734   2.20061 108.85280   3.00000
   C5 CH2E   H0   2.10072   2.02106   2.17501 108.11950   3.00000
   C5 CR1E   H0   2.17659   2.11645   2.23091 126.26160   3.00000
   C5 CR1H   H0   2.17696   2.11696   2.23114 126.40310   3.00000
  C5W CH2E   H0   2.10241   2.02264   2.17680 108.18310   3.00000
  C5W CR1E   H0   2.16790   2.10578   2.22423 124.50370   3.00000
   CF CH2E   H0   2.10518   2.02535   2.17963 108.12680   3.00000
   CF CR1E   H0   2.13350   2.06631   2.19505 119.45400   3.00000
 CH1E CH1E   H0   2.14038   2.05992   2.21543 108.27750   3.00000
 CH1E CH2E   H0   2.14445   2.06513   2.21832 109.28330   3.00000
 CH1E CH3E   H0   2.13893   2.05984   2.21258 109.47260   3.00000
 CH2E CH1E   H0   2.14401   2.06466   2.21791 109.24870   3.00000
 CH2E CH2E   H0   2.12855   2.04884   2.20284 108.72360   3.00000
 CH2E CH2P   H0   2.11951   2.04126   2.19232 109.95480   3.00000
 CH2E CH3E   H0   2.13186   2.05287   2.20542 109.46940   3.00000
 CH2P CH2E   H0   2.13385   2.05663   2.20558 111.11270   3.00000
 CH2P CH2P   H0   2.13450   2.05655   2.20697 110.38180   3.00000
 CH3E CH1E   H0   2.12180   2.04152   2.19670 108.12790   3.00000
 CH3E CH2E   H0   2.11369   2.03343   2.18857 108.04080   3.00000
 CR1E CR1E   H0   2.13690   2.07012   2.19801 119.94330   3.00000
 CR1E CR1W   H0   2.14041   2.07222   2.20295 118.75980   3.00000
 CR1W CR1E   H0   2.14484   2.07703   2.20699 119.17060   3.00000
 CR1W CR1W   H0   2.12766   2.06155   2.18811 120.26160   3.00000
   CW CR1E   H0   2.16275   2.09680   2.22298 121.03170   3.00000
   CW CR1W   H0   2.16692   2.10170   2.22639 121.78220   3.00000
   CY CH2E   H0   2.11346   2.03341   2.18812 108.09100   3.00000
